Timestamp,Age,Gender,City,Position,Experience_Years,Seniority,Main_Tech,Salary,Salary_Bonus,Last_Year_Salary,Last_Year_Salary_Bonus,Vacations,Contract_Duration,Main_Language_Work,Company_Size,Company_Type
24/11/2020 11:23:11,59.0,male,berlin,backend developer,30,senior,java,69000.0,nan,69000.0,2000,28,unlimited contract,german,101-1000,product
24/11/2020 11:23:53,36.0,male,berlin,software engineer,17,lead,php,70000.0,nan,65000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:25:03,38.0,male,berlin,team lead,18,lead,ios,80000.0,4000,80000.0,2000,28,unlimited contract,english,101-1000,product
24/11/2020 11:25:20,24.0,male,berlin,devops,6,senior,kubernetes,75000.0,10000,63000.0,nan,27,unlimited contract,english,101-1000,product
24/11/2020 11:25:32,37.0,male,berlin,test manager,6,middle,charles,47400.0,1000,44000.0,1000,28,unlimited contract,german,1000+,media
24/11/2020 11:25:35,nan,male,berlin,devops,14,senior,nan,67000.0,7000,65000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:26:16,40.0,male,berlin,product manager,13,senior,sql,70000.0,nan,nan,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:26:59,29.0,male,berlin,software engineer,6,lead,go,85000.0,5000,78000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:27:34,31.0,male,berlin,backend developer,5,middle,java,65000.0,nan,nan,nan,28,unlimited contract,english,101-1000,startup
24/11/2020 11:27:39,29.0,female,berlin,qa engineer,7,middle,nan,45000.0,2000,nan,nan,26,unlimited contract,english,51-100,startup
24/11/2020 11:27:49,39.0,male,berlin,software engineer,8,senior,java,80000.0,nan,80000.0,nan,29,unlimited contract,english,51-100,startup
24/11/2020 11:28:12,27.0,male,berlin,software engineer,8,middle,javascript,63000.0,101,nan,nan,24,unlimited contract,english,101-1000,product
24/11/2020 11:28:14,33.0,male,berlin,data scientist,5,lead,python,150000.0,80000,81000.0,4000,24,unlimited contract,english,1000+,product
24/11/2020 11:28:58,28.0,female,berlin,designer (ui/ux),7,middle,figma,45000.0,nan,37000.0,nan,28,unlimited contract,german,1000+,product
24/11/2020 11:29:18,30.0,male,berlin,software engineer,8,senior,javascript,80000.0,nan,72000.0,3500,28,unlimited contract,english,101-1000,product
24/11/2020 11:29:38,28.0,male,berlin,backend developer,5,senior,kotlin,75000.0,nan,58000.0,nan,25,unlimited contract,english,101-1000,startup
24/11/2020 11:29:55,38.0,male,berlin,devops,10,senior,go/python,70000.0,nan,65000.0,nan,30,unlimited contract,english,51-100,startup
24/11/2020 11:30:00,29.0,male,berlin,frontend developer,7,senior,react,72000.0,12000,63000.0,nan,27,unlimited contract,english,1000+,product
24/11/2020 11:30:11,49.0,male,berlin,software engineer,15,senior,java,67000.0,1500,66000.0,nan,29,unlimited contract,german,1000+,product
24/11/2020 11:30:21,32.0,male,berlin,frontend developer,10,senior,typescript,105000.0,nan,80000.0,nan,60,temporary contract,english,101-1000,product
24/11/2020 11:30:38,33.0,female,berlin,software engineer,12,senior,с#,88000.0,35200,96000.0,20000,30,unlimited contract,english,1000+,product
24/11/2020 11:30:45,30.0,male,berlin,software engineer,6,senior,java,74000.0,15000,54000.0,54000,27,unlimited contract,english,1000+,product
24/11/2020 11:31:01,48.0,male,berlin,software engineer,25,senior,java,75000.0,nan,75000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:31:38,28.0,female,berlin,designer (ui/ux),5,senior,nan,60000.0,nan,nan,nan,20,unlimited contract,english,1000+,product
24/11/2020 11:31:45,32.0,male,berlin,backend developer,3,middle,java,77000.0,nan,62000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:31:50,38.0,female,berlin,backend developer,12,senior,nan,70000.0,8000,63000.0,nan,28,unlimited contract,english,1000+,product
24/11/2020 11:31:51,31.0,male,berlin,software engineer,7,lead,python,76000.0,10000,69000.0,nan,27,unlimited contract,english,101-1000,startup
24/11/2020 11:32:11,35.0,male,berlin,backend developer,10,senior,ruby,75000.0,nan,72000.0,15000,30,unlimited contract,english,101-1000,product
24/11/2020 11:32:24,28.0,female,berlin,designer (ui/ux),7,middle,figma,45000.0,nan,37000.0,nan,28,unlimited contract,german,1000+,product
24/11/2020 11:32:28,29.0,female,berlin,qa engineer,8,senior,nan,60000.0,nan,52000.0,nan,28,unlimited contract,english,51-100,startup
24/11/2020 11:32:48,32.0,male,berlin,backend developer,8,senior,php,65000.0,nan,60000.0,nan,30,unlimited contract,english,11-50,product
24/11/2020 11:32:57,44.0,male,berlin,backend developer,12,senior,java,68000.0,nan,68000.0,nan,26,unlimited contract,english,11-50,product
24/11/2020 11:33:08,nan,male,berlin,software engineer,nan,senior,php,75000.0,nan,nan,nan,nan,nan,english,nan,nan
24/11/2020 11:33:33,35.0,male,munich,software engineer,11,senior,php,65000.0,5000,65000.0,nan,29,unlimited contract,german,101-1000,product
24/11/2020 11:33:45,33.0,male,munich,devops,15,lead,kubernetes,90000.0,10000,78000.0,85000,30,unlimited contract,nan,101-1000,product
24/11/2020 11:33:46,29.0,male,berlin,software engineer,5,senior,go,75000.0,nan,58000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:33:51,66.0,male,munich,software engineer,40,lead,ruby on rails,70000.0,nan,50000.0,nan,30,unlimited contract,german,51-100,product
24/11/2020 11:35:25,39.0,female,berlin,software engineer,10,senior,java,70500.0,1000,68000.0,nan,30,unlimited contract,german,101-1000,consulting / agency
24/11/2020 11:36:44,28.0,male,munich,backend developer,5,senior,kotlin,72000.0,nan,56000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:37:39,34.0,male,munich,frontend developer,5,senior,javascript/es6,73500.0,nan,70000.0,nan,27,unlimited contract,english,11-50,product
24/11/2020 11:37:52,34.0,male,munich,software engineer,13,lead,.net,72000.0,72000,60000.0,60000,30,unlimited contract,english,51-100,product
24/11/2020 11:38:10,32.0,male,munich,frontend developer,7,senior,javascript,62000.0,nan,60000.0,nan,30,unlimited contract,german,101-1000,consulting / agency
24/11/2020 11:38:14,38.0,male,stuttgart,hardware engineer,15,lead,hardware,83000.0,nan,nan,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:38:15,32.0,male,berlin,data scientist,10,head,nan,110000.0,30000,85000.0,15000,30,unlimited contract,english,1000+,consulting / agency
24/11/2020 11:38:22,45.0,male,schleswig-holstein,software engineer,26,senior,c#,93000.0,10000,93000.0,11000,30,unlimited contract,german,1000+,product
24/11/2020 11:39:21,48.0,male,london,data engineer,23,nan,google cloud platform,110000.0,nan,nan,nan,nan,temporary contract,english,up to 10,personal ltd
24/11/2020 11:40:04,28.0,male,berlin,software engineer,3,middle,js,55000.0,nan,42000.0,nan,22,unlimited contract,english,11-50,startup
24/11/2020 11:40:05,29.0,male,konstanz area,mobile developer,6,middle,android,53000.0,nan,53000.0,nan,26,unlimited contract,english,11-50,startup
24/11/2020 11:40:24,36.0,male,munich,backend developer,15,senior,java,55000.0,nan,55000.0,nan,28,unlimited contract,english,1000+,product
24/11/2020 11:40:42,39.0,male,berlin,software engineer,10,senior,c#,75000.0,nan,65000.0,nan,30,unlimited contract,german,1000+,consulting / agency
24/11/2020 11:40:45,29.0,male,munich,software engineer,7,senior,javascript ,80000.0,5000,72000.0,2500,24,unlimited contract,english,1000+,product
24/11/2020 11:42:49,31.0,male,berlin,engineering manager,11,lead,java,80000.0,nan,79000.0,nan,27,unlimited contract,english,101-1000,startup
24/11/2020 11:43:28,30.0,male,berlin,backend developer,5,middle,java,55000.0,nan,nan,nan,27,unlimited contract,english,1000+,product
24/11/2020 11:43:34,30.0,male,munich,devops,8,middle,nan,70200.0,75000,63000.0,63000,30,unlimited contract,english,1000+,product
24/11/2020 11:43:49,33.0,male,frankfurt,software engineer,4,middle,java,50000.0,nan,nan,nan,24,unlimited contract,english,11-50,consulting / agency
24/11/2020 11:44:00,27.0,male,berlin,software engineer,5,senior,scala,78000.0,nan,70000.0,nan,30,unlimited contract,english,1000+,startup
24/11/2020 11:44:02,26.0,female,munich,data scientist,6,middle,python,60000.0,10000,60000.0,60000,26,unlimited contract,english,1000+,product
24/11/2020 11:44:10,26.0,male,berlin,software engineer,8,lead,go,85000.0,nan,75000.0,nan,28,unlimited contract,english,1000+,product
24/11/2020 11:44:18,31.0,female,berlin,analytics engineer,6,middle,sql,60000.0,nan,50000.0,500,27,unlimited contract,english,101-1000,startup
24/11/2020 11:44:34,30.0,male,berlin,software engineer,10,senior,scala,72000.0,nan,70000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:44:51,38.0,male,berlin,localization producer,17,middle,nan,68500.0,30000,62400.0,122000,25,unlimited contract,english,1000+,product
24/11/2020 11:44:59,43.0,male,berlin,mobile developer,5,senior,kotlin,72000.0,nan,68000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:45:28,33.0,male,berlin,software engineer,5,middle,python,65000.0,nan,65000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:45:31,31.0,male,berlin,software engineer,9,senior,"c#, .net core",60000.0,nan,nan,nan,25,unlimited contract,english,11-50,startup
24/11/2020 11:46:15,32.0,female,berlin,qa engineer,10,senior,java,61000.0,nan,55000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:46:16,24.0,male,berlin,data scientist,4,senior,python,73000.0,73000,50000.0,50000,24,unlimited contract,english,101-1000,startup
24/11/2020 11:46:21,29.0,male,berlin,devops,7,lead,kubernetes,78000.0,10000,70000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:46:42,29.0,male,berlin,data scientist,4,senior,python,81000.0,nan,72000.0,nan,29,unlimited contract,english,101-1000,product
24/11/2020 11:46:48,30.0,male,munich,hardware engineer,5,senior,vhdl,75000.0,10000,73000.0,8000,30,unlimited contract,english,101-1000,product
24/11/2020 11:48:46,35.0,female,berlin,reporting engineer,3,middle,power bi,55000.0,3000,45000.0,nan,31,unlimited contract,german,1000+,product
24/11/2020 11:48:57,27.0,female,hamburg,account managet,6,senior,nan,50000.0,nan,nan,nan,28,temporary contract,english,101-1000,product
24/11/2020 11:49:06,32.0,female,berlin,product manager,8,no level,nan,55000.0,nan,nan,nan,27,unlimited contract,german,11-50,consulting / agency
24/11/2020 11:49:42,33.0,male,munich,qa engineer,5,senior,java,60000.0,nan,nan,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:50:04,28.0,male,berlin,software engineer,8,lead,php ,80000.0,nan,72000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:50:47,31.0,female,munich,agile master ,14,middle,none,80000.0,nan,80000.0,nan,30,unlimited contract,german,1000+,product
24/11/2020 11:50:51,32.0,male,munich,software engineer,7,senior,android,60000.0,nan,60000.0,nan,38,unlimited contract,english,51-100,product
24/11/2020 11:50:52,30.0,male,berlin,backend developer,8,senior,scala,80000.0,nan,60000.0,nan,25,unlimited contract,english,1000+,product
24/11/2020 11:50:56,26.0,male,munich,backend developer,7,senior,java,78000.0,4000,61000.0,nan,27,unlimited contract,english,101-1000,product
24/11/2020 11:51:35,31.0,male,munich,software engineer,10,senior,java,68000.0,nan,68000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:52:49,38.0,female,munich,qa engineer,6,middle,java,62000.0,nan,62000.0,nan,26,unlimited contract,english,1000+,product
24/11/2020 11:53:56,37.0,male,berlin,software engineer,10,senior,php,55000.0,nan,55000.0,nan,26,unlimited contract,english,11-50,startup
24/11/2020 11:54:06,25.0,male,munich,software engineer,3,middle,java,62000.0,nan,55000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:54:18,36.0,male,berlin,frontend developer,12,senior,javascript,72000.0,nan,72000.0,nan,26,unlimited contract,english,up to 10,startup
24/11/2020 11:54:32,27.0,male,munich,qa engineer,5,senior,swift,58000.0,5800,58000.0,101,30,unlimited contract,english,1000+,product
24/11/2020 11:55:06,35.0,male,frankfurt,nlp engineer,12,senior,ml,120000.0,30000,90000.0,30000,30,unlimited contract,english,1000+,product
24/11/2020 11:55:07,37.0,male,munich,software engineer,15,senior,php,75000.0,nan,72500.0,nan,30,unlimited contract,german,101-1000,product
24/11/2020 11:55:33,26.0,male,munich,data scientist,3,middle,python,65000.0,7000,52000.0,300,30,unlimited contract,english,101-1000,product
24/11/2020 11:55:57,33.0,male,frankfurt,solution architect,6,middle,python,85000.0,40000,78000.0,7000,28,unlimited contract,english,1000+,product
24/11/2020 11:56:00,34.0,male,berlin,frontend developer,7,senior,javascript,65000.0,nan,nan,nan,25,unlimited contract,english,up to 10,startup
24/11/2020 11:56:05,33.0,male,berlin,backend developer,12,lead,php,65000.0,nan,60000.0,nan,27,unlimited contract,english,101-1000,product
24/11/2020 11:56:25,nan,male,berlin,qa engineer,6,middle,javascript,50000.0,nan,45000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:56:47,29.0,male,berlin,backend developer,8,senior,scala,72000.0,nan,nan,nan,25,unlimited contract,english,101-1000,startup
24/11/2020 11:56:56,24.0,male,munich,software engineer,5,middle,c++,79000.0,56000,77000.0,33000,30,unlimited contract,english,1000+,product
24/11/2020 11:57:37,28.0,female,munich,qa engineer,6,middle,nan,65000.0,3000,42000.0,nan,25,unlimited contract,english,1000+,product
24/11/2020 11:57:53,30.0,female,berlin,software engineer,8,senior,"scala, react.js",75000.0,nan,65000.0,nan,35,unlimited contract,english,101-1000,product
24/11/2020 11:57:55,28.0,male,cologne,bi consultant,8,senior,sql,60000.0,12000,nan,nan,28,unlimited contract,english,up to 10,consulting / agency
24/11/2020 11:58:24,31.0,male,munich,backend developer,11,senior,php,80000.0,4000,80000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:59:14,28.0,male,munich,mobile developer,5,senior,ios,57000.0,8000,70000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:59:20,32.0,female,kempten,fullstack developer,10,middle,c#,49000.0,nan,nan,nan,30,unlimited contract,english and german,51-100,product
24/11/2020 11:59:33,28.0,male,berlin,software engineer,6,senior,java,65000.0,75000,60000.0,60000,28,unlimited contract,english,11-50,startup
24/11/2020 11:59:38,26.0,female,munich,data scientist,3,junior,ml/python,70000.0,12000,nan,nan,28,unlimited contract,english,1000+,product
24/11/2020 12:00:01,33.0,male,berlin,mobile developer,6,middle,swift,63000.0,6300,60000.0,6000,28,unlimited contract,english,101-1000,product
24/11/2020 12:00:20,41.0,male,munich,product manager,18,middle,nan,72000.0,nan,60000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:00:59,31.0,male,berlin,software engineer,9,senior,"c#, .net core",60000.0,6000,nan,nan,25,unlimited contract,english,11-50,startup
24/11/2020 12:01:01,30.0,male,munich,frontend developer,6,senior,javascript,75000.0,101,nan,nan,28,unlimited contract,english,51-100,product
24/11/2020 12:01:59,31.0,male,berlin,frontend developer,8,senior,javascript/typescript,70000.0,101,nan,nan,24,unlimited contract,english,101-1000,startup
24/11/2020 12:02:04,37.0,male,munich,backend developer,12,senior,php,62000.0,5000,60000.0,5000,28,unlimited contract,english,101-1000,product
24/11/2020 12:04:10,30.0,male,berlin,software engineer,10,lead,python,78000.0,1000,75000.0,1000,nan,unlimited contract,english,101-1000,startup
24/11/2020 12:04:15,34.0,male,munich,nan,17,lead,java,120000.0,20000,110000.0,10000,32,unlimited contract,german,1000+,consulting / agency
24/11/2020 12:06:20,25.0,male,munich,backend developer,5,senior,java,75000.0,5000,nan,nan,24,unlimited contract,english,101-1000,product
24/11/2020 12:06:41,36.0,male,berlin,backend developer,19,senior,php,69000.0,nan,69000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 12:06:58,40.0,male,berlin,frontend developer,7,middle,javascript,54000.0,nan,54000.0,nan,24,unlimited contract,english,11-50,product
24/11/2020 12:07:16,37.0,male,berlin,product manager,6,middle,nan,62000.0,62000,58000.0,60000,30,unlimited contract,german,101-1000,product
24/11/2020 12:07:26,35.0,male,munich,software engineer,13,senior,java,80000.0,1500,77000.0,1500,40,unlimited contract,english,101-1000,product
24/11/2020 12:07:43,42.0,male,berlin,software engineer,20,senior,ruby on rails,80000.0,nan,72000.0,nan,27,unlimited contract,german,51-100,product
24/11/2020 12:07:44,34.0,male,berlin,qa engineer,10,senior,java,75000.0,3000,65000.0,3000,28,unlimited contract,english,101-1000,startup
24/11/2020 12:07:47,30.0,male,berlin,backend developer,6,senior,ruby,75000.0,75000,65000.0,65000,30,unlimited contract,english,101-1000,product
24/11/2020 12:08:51,35.0,male,berlin,software engineer,12,senior,c#,70000.0,22000,nan,nan,25,unlimited contract,english,1000+,product
24/11/2020 12:09:03,34.0,male,munich,cloud architect,10,senior,"azure, sap",120000.0,40000,70000.0,30000,30,unlimited contract,english,1000+,cloud
24/11/2020 12:09:06,35.0,male,berlin,designer (ui/ux),10,senior,nan,70000.0,nan,65000.0,nan,25,unlimited contract,english,51-100,product
24/11/2020 12:09:31,35.0,male,berlin,system administrator,14,middle,nan,44000.0,nan,nan,nan,27,temporary contract,english,101-1000,startup
24/11/2020 12:09:50,28.0,male,hamburg,software engineer,7,senior,scala,80000.0,5000,nan,nan,30,unlimited contract,english,101-1000,product
24/11/2020 12:09:55,26.0,male,münster,data scientist,5.5,junior,python,48000.0,2000,nan,nan,26,unlimited contract,german,1000+,product
24/11/2020 12:10:03,35.0,male,berlin,frontend developer,4,middle,javascript,50000.0,5000,nan,nan,28,unlimited contract,english,101-1000,product
24/11/2020 12:10:05,31.0,female,munich,qa engineer,7,senior,java,68000.0,nan,58000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:11:42,35.0,male,frankfurt,software engineer,12,senior,java,66000.0,nan,66000.0,nan,25,unlimited contract,german,51-100,consulting / agency
24/11/2020 12:12:16,28.0,male,berlin,product manager,3,middle,nan,51000.0,1500,nan,nan,27,unlimited contract,english,51-100,product
24/11/2020 12:12:35,25.0,male,berlin,backend developer,4,middle,python,60000.0,nan,60000.0,nan,24,unlimited contract,english,11-50,startup
24/11/2020 12:13:24,42.0,female,berlin,qa engineer,20,middle,python,55000.0,nan,nan,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:14:03,30.0,male,berlin,product manager,7,head,nan,150000.0,nan,nan,nan,25,unlimited contract,english,1000+,startup
24/11/2020 12:14:23,40.0,female,munich,software engineer,20,middle,java,54000.0,nan,54000.0,nan,30,unlimited contract,german,101-1000,behörde
24/11/2020 12:14:27,36.0,female,erlangen,product manager,14,middle,nan,62000.0,nan,36000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:14:52,37.0,male,berlin,software engineer,8,junior,java,60000.0,nan,nan,nan,28,unlimited contract,english,51-100,product
24/11/2020 12:15:30,33.0,male,munich,software engineer,10,senior,java,75000.0,7500,68000.0,6800,30,unlimited contract,english,101-1000,product
24/11/2020 12:16:38,38.0,male,cologne,software engineer,11,senior,php,55000.0,nan,55000.0,nan,26,unlimited contract,english,101-1000,product
24/11/2020 12:16:49,27.0,male,munich,frontend developer,4,senior,frontend,60000.0,nan,nan,nan,28,unlimited contract,english,51-100,product
24/11/2020 12:17:15,33.0,male,berlin,software engineer,7,senior,"java, javascript",62000.0,67000,52000.0,58000,30,unlimited contract,english,1000+,consulting / agency
24/11/2020 12:17:21,34.0,male,vienna,data scientist,12,senior,nan,77500.0,7750,67000.0,nan,25,unlimited contract,english,101-1000,consulting / agency
24/11/2020 12:17:32,36.0,female,munich,backend developer,5,middle,php,60000.0,5000,nan,nan,28,unlimited contract,english,101-1000,product
24/11/2020 12:17:51,42.0,male,berlin,devops,22,lead,yaml,70000.0,nan,nan,nan,24,unlimited contract,english,1000+,startup
24/11/2020 12:18:41,32.0,male,frankfurt,network engineer ,10,senior,python ,68500.0,6000,68500.0,70000,25,unlimited contract,english,101-1000,product
24/11/2020 12:21:10,31.0,male,berlin,frontend developer,10,senior,javascript,71060.0,101,67500.0,101,28,unlimited contract,english,51-100,startup
24/11/2020 12:21:33,33.0,female,berlin,qa engineer,6,middle,java,60000.0,nan,nan,nan,28,unlimited contract,english,101-1000,startup
24/11/2020 12:21:45,40.0,male,berlin,vp engineering,10,vp,js,100000.0,nan,nan,nan,24,unlimited contract,english,51-100,product
24/11/2020 12:23:06,28.0,male,moldova,backend developer,4,middle,java ,28000.0,nan,nan,nan,nan,nan,english,51-100,startup
24/11/2020 12:23:47,28.0,male,munich,backend developer,6,senior,java,70000.0,2000,57000.0,1500,30,unlimited contract,english,101-1000,consulting / agency
24/11/2020 12:23:50,46.0,male,munich,agile coach,4,senior,nan,82000.0,nan,78000.0,5000,30,unlimited contract,english,101-1000,product
24/11/2020 12:26:12,31.0,male,berlin,software engineer,9,senior,python,90000.0,nan,80000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:26:20,28.0,male,berlin,mobile developer,5,lead,swift,70800.0,nan,nan,nan,28,unlimited contract,english,11-50,consulting / agency
24/11/2020 12:27:21,29.0,male,berlin,software engineer,8,middle,php,55000.0,nan,nan,nan,24,unlimited contract,english,11-50,startup
24/11/2020 12:27:23,40.0,male,munich,mobile developer,25,lead,swift,85000.0,5000,72000.0,3000,30,unlimited contract,english,11-50,product
24/11/2020 12:28:08,46.0,male,munich,qa engineer,13,senior,java,70000.0,8500,70000.0,8500,28,unlimited contract,german,101-1000,product
24/11/2020 12:28:14,33.0,male,berlin,backend developer,5,middle,java,66000.0,70000,61000.0,61000,30,unlimited contract,english,101-1000,product
24/11/2020 12:28:23,33.0,male,berlin,nlp engineer,10,middle,python,62000.0,nan,60000.0,nan,28,unlimited contract,english,51-100,startup
24/11/2020 12:28:45,34.0,male,berlin,software engineer,14,lead,java,95000.0,5000,90000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:28:58,36.0,male,berlin,backend developer,18,senior,php,65000.0,70000,60000.0,60000,26,unlimited contract,english,101-1000,product
24/11/2020 12:29:35,33.0,female,berlin,qa engineer,8,senior,-,50000.0,nan,42000.0,nan,24,unlimited contract,english,11-50,startup
24/11/2020 12:30:03,32.0,male,berlin,software engineer,11,lead,android,80000.0,nan,80000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 12:35:28,46.0,male,berlin,software engineer,14,senior,javascript,80000.0,nan,63000.0,nan,30,unlimited contract,english,51-100,product
24/11/2020 12:36:04,30.0,male,munich,mobile developer,8,senior,kotlin,66000.0,nan,nan,nan,30,unlimited contract,english,1000+,product
24/11/2020 12:36:13,36.0,male,rosenheim,data science manager,12,manager,python,89200.0,17800,nan,nan,nan,unlimited contract,english,1000+,construction
24/11/2020 12:37:20,35.0,male,berlin,product manager,10,senior,php,90000.0,10000,nan,nan,nan,unlimited contract,english,101-1000,product
24/11/2020 12:38:26,47.0,male,munich,devops,20,senior,nan,75000.0,nan,nan,nan,30,unlimited contract,nan,1000+,product
24/11/2020 12:40:25,31.0,male,berlin,data scientist,10,lead,python ,115000.0,70000,115000.0,60000,28,unlimited contract,english,1000+,product
24/11/2020 12:41:45,46.0,male,munich,scrum master,12,senior,agile,85000.0,10000,88000.0,10000,30,unlimited contract,german,1000+,product
24/11/2020 12:44:38,26.0,male,berlin,mobile developer,6,senior,kotlin,70000.0,nan,65000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 12:44:58,31.0,male,mannheim ,hardware engineer,10,senior,c,45000.0,nan,nan,nan,30,temporary contract,english,11-50,product
24/11/2020 12:47:46,31.0,male,munich,frontend developer,12,lead,"typescript, javascript",85000.0,3000,75000.0,nan,29,unlimited contract,english,11-50,startup
24/11/2020 12:48:17,30.0,female,berlin,qa engineer,5,middle,python ,50000.0,4000,50000.0,4000,30,unlimited contract,german,101-1000,product
24/11/2020 12:50:06,35.0,male,munich,software engineer,13,lead,pegasystems platform ,140000.0,6000,132000.0,2000,28,unlimited contract,english,51-100,consulting / agency
24/11/2020 12:51:24,33.0,male,berlin,software engineer,12,senior,javascript,120000.0,nan,65000.0,nan,28,temporary contract,english,101-1000,product
24/11/2020 12:52:56,36.0,male,berlin,software engineer,7,middle,"c++, java, embedded c",42000.0,nan,42000.0,nan,25,unlimited contract,english and german,up to 10,product
24/11/2020 12:54:46,36.0,male,munich,solution architect,12,lead,cloud,105000.0,25000,105000.0,25000,28,unlimited contract,english,1000+,product
24/11/2020 12:55:11,40.0,male,munich,software engineer,13,senior,nan,77000.0,101,nan,nan,30,unlimited contract,english,1000+,product
